lyapunov exponent = -4.029159
NMSE:
NARMA2    10    20    30
0.000032    0.003783    0.001264    0.429309    
---parameters---
WASHOUT = 1000, LEARNING = 5000, EVAL = 1000
N = 36, M = 60
differential_point_index: 20
0.000000000001=differential_initial_value
0.000000000002=initial_distance
0.000000000000=2-norm
dt = 0.002500
T_input = 1
natural_length = 1.000000
fixed_points_index: 
input_points_index: 0 
input_weights: 1.000000 
k: mu = 100.000000, sigma = 30.000000
gamma: mu = 0.010000, sigma = 0.003000
---index_of_l[i]  k  gamma---
0   41.332245   0.013075
1   115.654240   0.009462
2   121.908308   0.013858
3   92.565843   0.008045
4   141.168205   0.012445
5   143.934073   0.012368
6   134.673226   0.008670
7   117.184440   0.015593
8   115.074567   0.006689
9   99.370819   0.008888
10   78.427874   0.016420
11   12.457727   0.004950
12   65.702281   0.014371
13   107.781751   0.011551
14   68.661937   0.010017
15   72.678994   0.011257
16   92.558870   0.002895
17   97.566387   0.010658
18   59.648003   0.013111
19   100.225634   0.013645
20   118.485769   0.007272
21   131.636621   0.011565
22   149.917620   0.011703
23   111.384127   0.012221
24   43.204217   0.010508
25   116.310017   0.014405
26   35.738482   0.010906
27   94.979881   0.007157
28   149.373119   0.007825
29   38.787911   0.014864
30   142.487144   0.007595
31   118.891896   0.012813
32   76.736969   0.006795
33   139.476205   0.007952
34   114.897103   0.012869
35   43.406889   0.017954
36   102.851359   0.010280
37   74.926965   0.008835
38   153.294693   0.015334
39   85.272057   0.005625
40   111.671066   0.015511
41   100.822745   0.008543
42   111.064796   0.011264
43   73.422827   0.016278
44   74.107954   0.003760
45   75.330969   0.012931
46   80.862985   0.012150
47   72.340267   0.005235
48   146.270120   0.012021
49   95.399626   0.006140
50   78.708880   0.007176
51   65.780832   0.009838
52   95.693243   0.014762
53   63.225966   0.007627
54   152.737266   0.009905
55   90.928041   0.008140
56   132.046717   0.011462
57   103.164642   0.010372
58   67.566452   0.008733
59   112.411930   0.010279
