lyapunov exponent = -3.023971
NMSE:
NARMA2    10    20    30
0.000036738787    0.006593128499    0.004454991869    0.838431077331    
---parameters---
WASHOUT = 1000, LEARNING = 5000, EVAL = 5000
N = 25, M = 40
differential_point_index: 0
0.000000000100=differential_initial_value
0.000000000141=initial_distance
0.000000000000=2-norm
dt = 0.002500
sample=4
T_input = 400
natural_length = 1.000000
fixed_points_index: 
input_points_index: 12 
input_weights: 1.000000 
k: mu = 1.000000, sigma = 0.100000
gamma: mu = 1.000000, sigma = 0.100000
---index_of_l[i]  k  gamma---
0   1.356691   1.019232
1   1.110093   0.777037
2   0.964918   0.983152
3   1.013115   0.955097
4   1.004318   1.056459
5   0.878119   0.956445
6   0.990267   0.820150
7   0.873736   0.956778
8   1.048060   1.069014
9   0.904385   1.010047
10   0.981702   0.919418
11   1.040822   0.936475
12   1.062708   1.010171
13   1.167424   1.123845
14   0.928020   1.016205
15   0.998728   1.104338
16   1.000621   1.087816
17   1.014641   1.078259
18   0.917422   1.024973
19   1.010796   0.926777
20   1.043570   0.733386
21   0.961355   0.922673
22   0.997878   1.160065
23   0.987946   0.915546
24   0.888254   1.082108
25   1.022317   1.142210
26   0.915784   1.013682
27   1.001069   0.969780
28   0.931174   0.918791
29   1.186301   1.059897
30   1.216344   1.174813
31   0.739583   1.035737
32   1.168521   0.960010
33   0.823159   1.089484
34   1.094206   0.914864
35   0.971599   1.086892
36   1.009952   0.921621
37   1.011969   0.970009
38   1.193473   0.890318
39   0.834619   0.907862
