lyapunov exponent = -0.400332
NMSE:
NARMA2    10    20    30
0.000995117390    0.032972137153    0.085411504524    564.498845631788    
---parameters---
WASHOUT = 1000, LEARNING = 5000, EVAL = 5000
N = 25, M = 40
differential_point_index: 0
0.000000100000=differential_initial_value
0.000000141421=initial_distance
0.000000099200=2-norm
dt = 0.002500
sample=4
T_input = 400
natural_length = 1.000000
fixed_points_index: 
input_points_index: 12 
input_weights: 1.000000 
k: mu = 1000.000000, sigma = 0.000000
gamma: mu = 0.010000, sigma = 0.000000
---index_of_l[i]  k---
0   1000.000000
1   1000.000000
2   1000.000000
3   1000.000000
4   1000.000000
5   1000.000000
6   1000.000000
7   1000.000000
8   1000.000000
9   1000.000000
10   1000.000000
11   1000.000000
12   1000.000000
13   1000.000000
14   1000.000000
15   1000.000000
16   1000.000000
17   1000.000000
18   1000.000000
19   1000.000000
20   1000.000000
21   1000.000000
22   1000.000000
23   1000.000000
24   1000.000000
25   1000.000000
26   1000.000000
27   1000.000000
28   1000.000000
29   1000.000000
30   1000.000000
31   1000.000000
32   1000.000000
33   1000.000000
34   1000.000000
35   1000.000000
36   1000.000000
37   1000.000000
38   1000.000000
39   1000.000000
---index_of_x[i]  gamma---
0   0.010000
1   0.010000
2   0.010000
3   0.010000
4   0.010000
5   0.010000
6   0.010000
7   0.010000
8   0.010000
9   0.010000
10   0.010000
11   0.010000
12   0.010000
13   0.010000
14   0.010000
15   0.010000
16   0.010000
17   0.010000
18   0.010000
19   0.010000
20   0.010000
21   0.010000
22   0.010000
23   0.010000
24   0.010000
