lyapunov exponent = -0.935940
NMSE:
NARMA2    10    20    30
0.000015    0.000008    0.000005    0.003499    
---parameters---
WASHOUT = 5000, LEARNING = 5000, EVAL = 1000
N = 36, M = 60
differential_point_index: 20
differential_initial_value=0.000000000100
initial_distance=0.000000000200
2-norm=0.000000000063
dt = 0.002500
T_input = 1
natural_length = 1.000000
fixed_points_index: 
input_points_index: 0 35 
input_weights: 1.000000 1.000000 
k: mu = 1000.000000, sigma = 300.000000
gamma: mu = 0.010000, sigma = 0.003000
---index_of_l[i]  k  gamma---
0   935.922917   0.010648
1   833.476661   0.012116
2   1267.076778   0.006410
3   1111.343335   0.015845
4   982.252830   0.008534
5   1006.767638   0.011071
6   1213.714423   0.010406
7   282.386503   0.010695
8   936.007004   0.008137
9   1428.318276   0.009944
10   729.630254   0.012964
11   914.447902   0.010397
12   638.886664   0.007590
13   1099.775442   0.010382
14   943.397569   0.008978
15   834.694895   0.010992
16   896.289740   0.008941
17   264.903204   0.006213
18   862.354987   0.011202
19   1063.850273   0.009897
20   205.324748   0.010082
21   137.856830   0.017424
22   828.752517   0.011554
23   1120.506328   0.009718
24   717.522459   0.012376
25   950.244802   0.015763
26   1209.892584   0.006681
27   885.633055   0.012770
28   1250.759362   0.015244
29   736.567686   0.008286
30   1382.887351   0.005575
31   1294.747491   0.008851
32   949.540305   0.007229
33   1019.114464   0.005864
34   1296.778570   0.007941
35   1671.468903   0.013561
36   1246.818267   0.008048
37   663.616217   0.006509
38   1160.282040   0.007304
39   1070.870446   0.008417
40   929.759760   0.008018
41   1185.956622   0.007484
42   964.399161   0.013838
43   961.984709   0.011456
44   1064.040339   0.011201
45   902.388712   0.007131
46   1271.725493   0.011343
47   1420.030864   0.007516
48   1168.674964   0.012309
49   855.968059   0.013221
50   1265.622473   0.006068
51   840.875264   0.010348
52   1011.697771   0.008701
53   901.423216   0.012899
54   2090.588323   0.009776
55   1034.353953   0.007937
56   1052.920227   0.010480
57   1092.339955   0.013802
58   876.465812   0.014104
59   895.539720   0.007728
