lyapunov exponent = 25.340222
NMSE:
NARMA2    10    20    30
nan    nan    nan    nan    
---parameters---
WASHOUT = 5000, LEARNING = 5000, EVAL = 1000
N = 36, M = 60
differential_point_index: 20
differential_initial_value=0.000000000001
initial_distance=0.000000000002
2-norm=3.031564765613
dt = 0.002500
T_input = 10
natural_length = 1.000000
fixed_points_index: 
input_points_index: 0 
input_weights: 1.000000 
k: mu = 100.000000, sigma = 30.000000
gamma: mu = 0.010000, sigma = 0.003000
---index_of_l[i]  k  gamma---
0   25.972881   0.009964
1   133.367727   0.012600
2   72.959194   0.010769
3   73.838666   0.005913
4   104.446058   0.008955
5   143.931108   0.015211
6   157.170146   0.014888
7   129.946629   0.010549
8   123.584804   0.008711
9   138.291661   0.008668
10   55.794462   0.018416
11   112.731457   0.007301
12   95.310840   0.012650
13   132.344402   0.006026
14   103.868107   0.007364
15   111.514734   0.011296
16   74.181722   0.011847
17   163.380043   0.008749
18   96.687466   0.012007
19   99.134707   0.010855
20   88.315921   0.004891
21   127.317052   0.010563
22   47.408241   0.011189
23   117.452562   0.011530
24   78.492816   0.007065
25   108.345801   0.013781
26   116.567082   0.013335
27   73.296376   0.012225
28   87.531581   0.009021
29   134.444015   0.011128
30   103.764188   0.012747
31   152.056352   0.008868
32   111.587642   0.009484
33   93.133538   0.012515
34   116.542262   0.010263
35   97.976389   0.013131
36   91.173562   0.012561
37   109.709902   0.005936
38   131.982903   0.010094
39   153.027345   0.007656
40   127.294157   0.011959
41   70.489396   0.006659
42   110.318957   0.009676
43   69.911046   0.012003
44   87.903444   0.011106
45   51.134156   0.013091
46   94.323342   0.008071
47   100.487874   0.006832
48   114.105603   0.009025
49   49.197592   0.007798
50   79.974757   0.007515
51   129.997918   0.008340
52   99.328225   0.011341
53   77.156081   0.009521
54   91.599953   0.009434
55   53.977445   0.012491
56   59.311834   0.011840
57   112.409865   0.007906
58   101.182757   0.011884
59   145.703645   0.005053
