lyapunov exponent = -5.321050
NMSE:
NARMA2    10    20    30
0.000020    0.002110    0.001008    0.803134    
---parameters---
WASHOUT = 1000, LEARNING = 5000, EVAL = 1000
N = 36, M = 60
differential_point_index: 20
differential_initial_value=0.000000000001
initial_distance=0.000000000002
2-norm=0.000000000000
dt = 0.002500
T_input = 100
natural_length = 1.000000
fixed_points_index: 
input_points_index: 0 
input_weights: 1.000000 
k: mu = 100.000000, sigma = 30.000000
gamma: mu = 0.010000, sigma = 0.003000
---index_of_l[i]  k  gamma---
0   33.823912   0.007615
1   135.051449   0.008582
2   74.198580   0.008078
3   133.905677   0.011107
4   57.372947   0.008533
5   124.051630   0.012070
6   75.349869   0.008386
7   114.988223   0.006137
8   82.173684   0.004381
9   105.193765   0.012801
10   102.098392   0.007709
11   90.091634   0.007760
12   126.765024   0.008656
13   105.886832   0.008183
14   115.152187   0.012738
15   43.149443   0.011850
16   34.257861   0.011922
17   107.384729   0.010433
18   79.457997   0.016367
19   121.700336   0.009126
20   115.452620   0.010156
21   120.573346   0.010933
22   102.075409   0.010934
23   82.241836   0.007744
24   78.865873   0.007436
25   144.362719   0.008435
26   139.039637   0.008713
27   46.602023   0.015244
28   125.532132   0.011123
29   99.757002   0.005739
30   104.025528   0.010317
31   83.990378   0.011124
32   74.175611   0.006556
33   61.284989   0.008521
34   126.793326   0.009644
35   113.218725   0.013340
36   194.984245   0.014867
37   79.043240   0.004289
38   106.970315   0.009803
39   96.277047   0.010585
40   59.665196   0.016190
41   98.090932   0.010187
42   87.120723   0.012780
43   69.441110   0.004746
44   105.297001   0.009112
45   90.505715   0.014015
46   129.902037   0.010776
47   99.377475   0.013070
48   44.000369   0.013862
49   130.779673   0.007724
50   109.881716   0.011352
51   96.997879   0.012021
52   91.681647   0.011044
53   49.821322   0.009527
54   137.232227   0.008744
55   156.525677   0.007521
56   94.506293   0.010236
57   120.382956   0.012459
58   116.318505   0.008226
59   148.606779   0.014166
