lyapunov exponent = -5.934261
NMSE:
NARMA2    10    20    30
0.000024    0.000460    0.000049    0.133864    
---parameters---
WASHOUT = 1000, LEARNING = 5000, EVAL = 5000
N = 36, M = 60
differential_point_index: 35
0.000000000010=differential_initial_value
0.000000000014=initial_distance
0.000000000000=2-norm
dt = 0.002500
T_input = 1
natural_length = 1.000000
fixed_points_index: 
input_points_index: 0 
input_weights: 1.000000 
k: mu = 1000.000000, sigma = 300.000000
gamma: mu = 0.010000, sigma = 0.003000
---index_of_l[i]  k  gamma---
0   1621.280317   0.010790
1   800.529955   0.005833
2   1014.793458   0.010021
3   804.524022   0.009753
4   1124.661067   0.001523
5   931.630247   0.020115
6   778.719098   0.010793
7   1507.318800   0.014301
8   1048.455285   0.013939
9   1609.931293   0.007438
10   1321.888546   0.011699
11   1202.380772   0.013531
12   619.588770   0.012244
13   1000.757863   0.016639
14   862.405029   0.008713
15   736.886389   0.012594
16   544.817658   0.009724
17   1314.824662   0.010506
18   369.165729   0.009816
19   1305.596026   0.010612
20   1130.686586   0.006520
21   1145.620773   0.009272
22   788.663404   0.009686
23   909.221220   0.004594
24   901.846084   0.011901
25   1679.121756   0.008430
26   932.448059   0.008284
27   1153.174410   0.008774
28   1131.511129   0.005274
29   1248.794003   0.008568
30   863.974586   0.016984
31   1124.803352   0.009056
32   869.839044   0.009480
33   945.585318   0.003815
34   1216.231153   0.010344
35   1129.985645   0.004871
36   916.146988   0.010237
37   1059.099411   0.014074
38   975.171402   0.009019
39   811.051305   0.010019
40   1103.763937   0.010334
41   844.932975   0.013022
42   1337.543551   0.007965
43   894.667894   0.015543
44   744.619610   0.012330
45   976.988735   0.015751
46   1299.148542   0.010740
47   1055.909722   0.011336
48   1082.011534   0.011012
49   974.857094   0.012741
50   914.321417   0.012430
51   911.429872   0.007980
52   974.656697   0.006647
53   817.824986   0.010451
54   1349.456984   0.009663
55   609.452087   0.005779
56   1248.243011   0.004578
57   1258.541390   0.011261
58   1080.737533   0.001865
59   639.466709   0.014612
