lyapunov exponent = -4.092931
NMSE:
NARMA2    10    20    30
0.000014    0.000039    0.000028    0.024763    
---parameters---
WASHOUT = 5000, LEARNING = 5000, EVAL = 1000
N = 36, M = 60
differential_point_index: 20
differential_initial_value=0.000000000001
initial_distance=0.000000000002
2-norm=0.000000000000
dt = 0.002500
T_input = 1
natural_length = 1.000000
fixed_points_index: 
input_points_index: 0 35 
input_weights: 1.000000 0.000000 
k: mu = 1000.000000, sigma = 300.000000
gamma: mu = 0.010000, sigma = 0.003000
---index_of_l[i]  k  gamma---
0   972.844405   0.013701
1   389.899483   0.007139
2   876.715202   0.008587
3   599.187064   0.015380
4   871.411832   0.014472
5   1113.800251   0.005099
6   1261.982244   0.012301
7   1419.800199   0.014643
8   1211.215291   0.006452
9   850.230262   0.011123
10   258.576273   0.010914
11   1137.498164   0.009052
12   1223.201308   0.009808
13   874.814793   0.009537
14   1245.868128   0.016239
15   1146.366633   0.006229
16   1326.237281   0.008147
17   1503.433085   0.012774
18   798.335056   0.010719
19   240.722467   0.012361
20   774.613582   0.001843
21   803.151938   0.009287
22   897.518311   0.004164
23   1267.550419   0.007919
24   466.402651   0.010912
25   1397.035826   0.007426
26   680.141327   0.012585
27   1036.129260   0.011525
28   902.903894   0.012609
29   1190.371351   0.012520
30   719.794796   0.010813
31   1379.130478   0.011384
32   1068.837337   0.007517
33   1344.841142   0.011895
34   1173.538344   0.009244
35   684.268657   0.012655
36   1022.841759   0.004879
37   804.666250   0.012122
38   1474.465769   0.010842
39   1289.255286   0.010296
40   927.718508   0.014036
41   1354.698492   0.006022
42   607.105862   0.009524
43   1044.955008   0.006679
44   1489.225489   0.008933
45   535.928687   0.009694
46   833.273877   0.004803
47   1117.673607   0.006476
48   1261.383758   0.006952
49   886.372784   0.008255
50   722.386826   0.012772
51   1603.875544   0.014425
52   824.628303   0.010351
53   526.740362   0.014923
54   985.081151   0.007282
55   1264.168754   0.008176
56   938.014112   0.010355
57   557.319729   0.011861
58   1609.450399   0.011716
59   643.811835   0.011608
